Table,Rank,Text,Link,Popularity,Degrees
16,19,Oedipus the King,/wiki/Oedipus_the_King,4.6,5
16,20,Book of the Dead,/wiki/Book_of_the_Dead,4.3,14
16,21,Aeneid,/wiki/Aeneid,4.2,17
16,22,Tao Te Ching,/wiki/Tao_Te_Ching,3.7,16
16,23,Domesday Book,/wiki/Domesday_Book,3.5,20
16,24,Rigveda,/wiki/Rigveda,3.2,8
16,25,Upanishads,/wiki/Upanishads,3.1,9
16,26,Cupid and Psyche,/wiki/Cupid_and_Psyche,2.8,18
16,27,Lysistrata,/wiki/Lysistrata,2.6,19
16,28,Titanomachy,/wiki/Titanomachy,2.4,24
16,29,Mesoamerican Long Count calendar,/wiki/Mesoamerican_Long_Count_calendar,2.2,17
16,30,The Decameron,/wiki/The_Decameron,2.1,18
16,30,Nicomachean Ethics,/wiki/Nicomachean_Ethics,2.1,14
